gama_x,gama_y
42709.280525161535,29042.511400980875
40948.36197604763,33053.74354333896
42492.86670990079,29084.779059438966
40887.29955016053,33092.406429644674
42492.86670990079,29084.779059438966
42723.29561017058,29046.988198520616
42492.86670990079,29084.779059438966
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42740.592627997044,29008.346453441307
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42492.86670990079,29084.779059438966
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
40698.32476471597,32923.33034983929
42492.86670990079,29084.779059438966
41021.36332001607,32943.34848115221
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
40991.77404806379,33019.10186291486
40861.30945376819,33091.29750372097
42492.86670990079,29084.779059438966
40887.29955016053,33092.406429644674
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42492.86670990079,29084.779059438966
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
42723.29561017058,29046.988198520616
41252.149772112374,33374.86410797387
41152.38106551161,33378.417976195924
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41023.56509908149,33229.37031268049
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41152.38106551161,33378.417976195924
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
40982.76775796432,33181.163552816026
41023.56509908149,33229.37031268049
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41152.38106551161,33378.417976195924
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41252.149772112374,33374.86410797387
41252.149772112374,33374.86410797387
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41023.56509908149,33229.37031268049
41152.38106551161,33378.417976195924
40982.76775796432,33181.163552816026
41148.04481359548,33425.35601080861
41306.66483127128,34491.612469283864
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
41148.04481359548,33425.35601080861
